Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %
11,Best Profit Generator,BBVA + MCK + HWM + NVDA,BBVA,Finance,MCK,Health Care,HWM,Industrials,NVDA,Technology,81.3519064347852,77.95612089257875,90.86835458730621,8.95442582724128,50.8599219641752,2022,8.95442582724128,2023,90.86835458730621,100000.0,819994.7541730733,719994.7541730733,719.9947541730733,52.32185318589766
12,Best Profit Generator,MPC + LLY + HWM + NVDA,MPC,Energy,LLY,Health Care,HWM,Industrials,NVDA,Technology,46.57130450176952,75.79988587038793,92.05672444969058,23.69459502409292,66.05880379770956,2022,23.69459502409292,2023,92.05672444969058,100000.0,819921.5550348958,719921.5550348958,719.9215550348958,52.31913360105356
13,Best Profit Generator,SAN + LLY + NVDA + ANET,SAN,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,64.83246286837911,76.832588274363,110.04775400084725,-9.553635935944381,74.96214422383053,2022,-9.553635935944381,2023,110.04775400084725,100000.0,819612.2060041816,719612.2060041816,719.6122060041816,52.30763813815062
14,Best Profit Generator,BBVA + MCK + NVDA + ANET,BBVA,Finance,MCK,Health Care,NVDA,Technology,ANET,Telecommunications,64.00020631887932,74.21194862866234,104.92697638184302,-0.9824593674291062,72.41320030016276,2022,-0.9824593674291062,2023,104.92697638184302,100000.0,818324.2139216365,718324.2139216365,718.3242139216364,52.259738788342936
15,Best Profit Generator,MPC + LLY + NVDA + ANET,MPC,Energy,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,29.21960438586364,72.05571360647153,106.11534624422738,13.757709829422533,87.61208213369713,2022,13.757709829422533,2023,106.11534624422738,100000.0,818251.0147834591,718251.0147834591,718.2510147834591,52.25701476276272
16,Best Profit Generator,MUFG + HWM + NVDA + ANET,MUFG,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.849127902419234,100.44489012770991,100.00454057587874,-4.880287457721673,64.57333876780152,2022,-4.880287457721673,2024,100.44489012770991,100000.0,814495.2030252343,714495.2030252343,714.4952030252343,52.11698401374476
17,Best Profit Generator,GS + HWM + NVDA + ANET,GS,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,50.51375097055687,103.4287029744108,96.70956716524083,-12.388338286159629,70.6635066302687,2022,-12.388338286159629,2024,103.4287029744108,100000.0,814410.9548077728,714410.9548077728,714.4109548077728,52.11383700564163
18,Best Profit Generator,UBS + HWM + NVDA + ANET,UBS,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,50.78234651419647,90.59498859207275,110.1959729033889,-8.571800623109937,66.11822668677448,2022,-8.571800623109937,2023,110.1959729033889,100000.0,814306.9443428478,714306.9443428478,714.3069443428478,52.1099514392418
19,Best Profit Generator,ING + LLY + HWM + NVDA,ING,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,63.8465342707449,79.87628279540257,92.41027256091311,0.9857604328430494,64.66190355750251,2022,0.9857604328430494,2023,92.41027256091311,100000.0,811596.6879721103,711596.6879721103,711.5966879721103,52.008562911966074
20,Best Profit Generator,CNQ + HWM + NVDA + ANET,CNQ,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,39.504458546174135,90.09343600268447,98.66423263912817,0.3010120278630186,79.6494230769018,2022,0.3010120278630186,2023,98.66423263912817,100000.0,810720.7777894133,710720.7777894133,710.7207777894134,51.975737897760645
21,Best Profit Generator,MPC + BBVA + HWM + NVDA,MPC,Energy,BBVA,Finance,HWM,Industrials,NVDA,Technology,75.00864779858475,71.02365006630292,92.44977405944368,17.65480533540355,55.05339665590181,2022,17.65480533540355,2023,92.44977405944368,100000.0,810565.4545643358,710565.4545643358,710.5654545643357,51.969914148922136
22,Best Profit Generator,HSBC + LLY + HWM + NVDA,HSBC,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,58.75608701879993,85.4351519971616,94.30401190157056,3.986813112317389,55.999334527287274,2022,3.986813112317389,2023,94.30401190157056,100000.0,810352.5124519727,710352.5124519727,710.3525124519728,51.96192856417618
23,Best Profit Generator,ING + LLY + NVDA + ANET,ING,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,46.49483415483902,76.13211053148616,106.4688943554499,-8.951124761827337,86.21518189349008,2022,-8.951124761827337,2023,106.4688943554499,100000.0,809926.1477206738,709926.1477206738,709.9261477206738,51.94593432807868
24,Best Profit Generator,XOM + HWM + NVDA + ANET,XOM,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,40.348622372323874,93.23627688007755,91.16779100087436,11.431692740688751,73.15457923897341,2022,11.431692740688751,2024,93.23627688007755,100000.0,809871.4345484714,709871.4345484714,709.8714345484714,51.943881383191524
25,Best Profit Generator,MPC + BBVA + NVDA + ANET,MPC,Energy,BBVA,Finance,NVDA,Technology,ANET,Telecommunications,57.65694768267886,67.27947780238651,106.50839585398049,7.717920140733165,76.60667499188936,2022,7.717920140733165,2023,106.50839585398049,100000.0,808894.9143128991,708894.9143128991,708.8949143128991,51.90722176451506
26,Best Profit Generator,HSBC + LLY + NVDA + ANET,HSBC,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,41.40438690289405,81.6909797332452,108.36263369610737,-5.950072082353,77.55261286327485,2022,-5.950072082353,2023,108.36263369610737,100000.0,808681.972200536,708681.972200536,708.681972200536,51.89922298720895
27,Best Profit Generator,WFC + HWM + NVDA + ANET,WFC,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.24714355411811,102.04039422856823,98.46727050948815,-13.401210728496403,74.04717786775792,2022,-13.401210728496403,2024,102.04039422856823,100000.0,807196.0133943602,707196.0133943602,707.1960133943602,51.84335873380827
28,Best Profit Generator,PBR + HWM + NVDA + ANET,PBR,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,36.0900875747744,89.8556534426443,115.02848284060892,3.8871209541516354,63.86729231603557,2022,3.8871209541516354,2023,115.02848284060892,100000.0,807173.2874616293,707173.2874616293,707.1732874616293,51.84250371947192
29,Best Profit Generator,VLO + HWM + NVDA + ANET,VLO,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.5979625406875,89.68149226109836,94.19876156262701,8.317908968683552,68.82411364183082,2022,8.317908968683552,2023,94.19876156262701,100000.0,806892.6222095364,706892.6222095364,706.8926222095364,51.83194270515723
30,Best Profit Generator,SMFG + HWM + NVDA + ANET,SMFG,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.24282932085189,104.14801615584136,97.90774018739918,-5.891863368413086,61.27285761735808,2022,-5.891863368413086,2024,104.14801615584136,100000.0,802931.0059162772,702931.0059162772,702.9310059162772,51.68255859837829
31,Best Profit Generator,HWM + WELL + NVDA + ANET,HWM,Industrials,WELL,Real Estate,NVDA,Technology,ANET,Telecommunications,48.81885376603388,101.18790204946684,103.18050662683763,-15.71488615779698,68.00650809063058,2022,-15.71488615779698,2023,103.18050662683763,100000.0,802629.603754517,702629.603754517,702.6296037545171,51.67116924691677
32,Best Profit Generator,AXP + HWM + NVDA + ANET,AXP,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,42.85263625978322,105.50090414013474,99.90081247451441,-12.54981361932697,67.98186757098529,2022,-12.54981361932697,2024,105.50090414013474,100000.0,801937.9946656468,701937.9946656468,701.9379946656468,51.64502186026267
33,Best Profit Generator,MUFG + LLY + HWM + NVDA,MUFG,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,51.27377415189928,86.83796308877814,91.71305877228053,7.579192237219928,56.62115273494635,2022,7.579192237219928,2023,91.71305877228053,100000.0,801801.0338969942,701801.0338969942,701.8010338969942,51.63984169972646
34,Best Profit Generator,GS + LLY + HWM + NVDA,GS,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,55.93839722003692,89.82177593547902,88.41808536164262,0.07114140878197261,62.711320597413525,2022,0.07114140878197261,2024,89.82177593547902,100000.0,801716.7856795327,701716.7856795327,701.7167856795327,51.636654893325364
35,Best Profit Generator,UBS + LLY + HWM + NVDA,UBS,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,56.20699276367652,76.98806155314098,101.9044910997907,3.8876790718316627,58.166040653919296,2022,3.8876790718316627,2023,101.9044910997907,100000.0,801612.7752146076,701612.7752146076,701.6127752146076,51.63272018276914
36,Best Profit Generator,MUFG + LLY + NVDA + ANET,MUFG,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,33.922074035993404,83.09379082486174,105.77168056681734,-2.3576929574504604,78.1744310709339,2022,-2.3576929574504604,2023,105.77168056681734,100000.0,800130.4936455576,700130.4936455576,700.1304936455575,51.576601112949795
37,Best Profit Generator,GS + LLY + NVDA + ANET,GS,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,38.58669710413104,86.07760367156263,102.47670715617943,-9.865743785888416,84.26459893340109,2022,-9.865743785888416,2023,102.47670715617943,100000.0,800046.245428096,700046.245428096,700.046245428096,51.573408984558846
38,Best Profit Generator,UBS + LLY + NVDA + ANET,UBS,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,38.85529264777063,73.24388928922457,115.96311289432751,-6.049206122838726,79.71931898990687,2022,-6.049206122838726,2023,115.96311289432751,100000.0,799942.2349631711,699942.2349631711,699.942234963171,51.569467702234384
39,Best Profit Generator,BNY + HWM + NVDA + ANET,BNY,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,49.96587258849155,103.39599080054705,97.36206782954042,-15.205709974920135,68.89865372372273,2022,-15.205709974920135,2024,103.39599080054705,100000.0,799569.2368198917,699569.2368198917,699.5692368198918,51.55533026204908
40,Best Profit Generator,CNQ + LLY + HWM + NVDA,CNQ,Energy,LLY,Health Care,HWM,Industrials,NVDA,Technology,44.929104795654176,76.4865089637527,90.37275083552997,12.760491722804616,71.6972370440466,2022,12.760491722804616,2023,90.37275083552997,100000.0,798026.6086611734,698026.6086611734,698.0266086611734,51.496805210354246
41,Best Profit Generator,XOM + LLY + HWM + NVDA,XOM,Energy,LLY,Health Care,HWM,Industrials,NVDA,Technology,45.77326862180392,79.62934984114578,82.87630919727616,23.891172435630352,65.20239320611824,2022,23.891172435630352,2023,82.87630919727616,100000.0,797177.2654202313,697177.2654202313,697.1772654202313,51.464543729359555
42,Best Profit Generator,MFG + HWM + NVDA + ANET,MFG,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,49.46880785959709,102.3872861939513,98.01486810666822,-7.577447097244965,58.760700221307786,2022,-7.577447097244965,2024,102.3872861939513,100000.0,796599.0319592939,696599.0319592939,696.5990319592938,51.44256435457335
43,Best Profit Generator,MS + HWM + NVDA + ANET,MS,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,47.645501225415636,100.35367116234879,96.21550696354518,-13.005193020975234,70.42411118207664,2022,-13.005193020975234,2024,100.35367116234879,100000.0,796538.3912031768,696538.3912031768,696.5383912031768,51.440258584444635
44,Best Profit Generator,CNQ + LLY + NVDA + ANET,CNQ,Energy,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,27.5774046797483,72.7423366998363,104.43137263006678,2.8236065281342295,93.25051538003419,2022,2.8236065281342295,2023,104.43137263006678,100000.0,796356.0684097366,696356.0684097366,696.3560684097366,51.43332519877644
45,Best Profit Generator,MPC + BBVA + LLY + NVDA,MPC,Energy,BBVA,Finance,LLY,Health Care,NVDA,Technology,63.08159393215891,53.672550763454744,98.2169140503823,20.177399835674763,68.65448895903418,2022,20.177399835674763,2023,98.2169140503823,100000.0,796200.7451846591,696200.7451846591,696.2007451846591,51.42741755302649
46,Best Profit Generator,XOM + LLY + NVDA + ANET,XOM,Energy,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,28.421568505898044,75.88517757722937,96.93493099181296,13.954287240959966,86.7556715421058,2022,13.954287240959966,2023,96.93493099181296,100000.0,795506.7251687946,695506.7251687946,695.5067251687947,51.40100955953657
47,Best Profit Generator,WFC + LLY + HWM + NVDA,WFC,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,50.67178980359816,88.43346718963647,90.17578870588994,-0.9417310335548059,66.09499183490274,2022,-0.9417310335548059,2023,90.17578870588994,100000.0,794501.8442661201,694501.8442661201,694.5018442661201,51.36274038852957
48,Best Profit Generator,PBR + LLY + HWM + NVDA,PBR,Energy,LLY,Health Care,HWM,Industrials,NVDA,Technology,41.51473382425445,76.24872640371252,106.73700103701071,16.346600649093233,55.91510628318039,2022,16.346600649093233,2023,106.73700103701071,100000.0,794479.1183333892,694479.1183333892,694.4791183333891,51.361874462581355
49,Best Profit Generator,VLO + LLY + HWM + NVDA,VLO,Energy,LLY,Health Care,HWM,Industrials,NVDA,Technology,51.02260879016754,76.0745652221666,85.90727975902882,20.777388663625153,60.87192760897564,2022,20.777388663625153,2023,85.90727975902882,100000.0,794198.4530812963,694198.4530812963,694.1984530812963,51.35117864390308
50,Best Profit Generator,WFC + LLY + NVDA + ANET,WFC,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,33.32008968769228,84.68929492572006,104.23441050042675,-10.878616228225193,87.64827017089031,2022,-10.878616228225193,2023,104.23441050042675,100000.0,792831.3040146835,692831.3040146835,692.8313040146835,51.29903493917185
51,Best Profit Generator,PBR + LLY + NVDA + ANET,PBR,Energy,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,24.16303370834857,72.50455413979611,120.79562283154752,6.409715454422846,77.46838461916795,2022,6.409715454422846,2023,120.79562283154752,100000.0,792808.5780819525,692808.5780819525,692.8085780819525,51.29816755386622
52,Best Profit Generator,JPM + HWM + NVDA + ANET,JPM,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.67090935338315,101.49290158898796,100.38985185560398,-13.580885109656965,65.69713659503905,2022,-13.580885109656965,2024,101.49290158898796,100000.0,792751.1333948962,692751.1333948962,692.7511333948962,51.295974962101496
53,Best Profit Generator,LLY + CAT + NVDA + ANET,LLY,Health Care,CAT,Industrials,NVDA,Technology,ANET,Telecommunications,39.50342539614584,79.23443883558882,104.98750310927504,-3.248273053836222,76.35020158893519,2022,-3.248273053836222,2023,104.98750310927504,100000.0,792736.0721245528,692736.0721245528,692.7360721245528,51.295400071243066
54,Best Profit Generator,VLO + LLY + NVDA + ANET,VLO,Energy,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,33.67090867426166,72.33039295825019,99.96590155356562,10.840503468954767,82.4252059449632,2022,10.840503468954767,2023,99.96590155356562,100000.0,792527.9128298596,692527.9128298596,692.5279128298596,51.287453705921735
55,Best Profit Generator,LLY + PH + NVDA + ANET,LLY,Health Care,PH,Industrials,NVDA,Technology,ANET,Telecommunications,34.31281843115431,82.9643231470843,113.70313383647132,-9.625886688043504,76.93761274560299,2022,-9.625886688043504,2023,113.70313383647132,100000.0,792438.6654669467,692438.6654669467,692.4386654669466,51.28404622605955
56,Best Profit Generator,SCCO + HWM + NVDA + ANET,SCCO,Basic Materials,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,52.99097069602696,92.77560697233552,105.23957119326057,-9.377892788451465,58.59097146406334,2022,-9.377892788451465,2023,105.23957119326057,100000.0,791287.1887182887,691287.1887182887,691.2871887182887,51.240055086232374
57,Best Profit Generator,BX + HWM + NVDA + ANET,BX,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,34.39406101142889,99.18854640094088,113.42000477656411,-20.421952876672933,85.53710253719959,2022,-20.421952876672933,2023,113.42000477656411,100000.0,791233.8320092924,691233.8320092924,691.2338320092924,51.238015399658956
58,Best Profit Generator,COP + HWM + NVDA + ANET,COP,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,35.76904557545326,87.37903758999015,93.22895349814553,7.502373499115459,80.41102798187302,2022,7.502373499115459,2023,93.22895349814553,100000.0,790635.5450126913,690635.5450126913,690.6355450126913,51.21513692447912
59,Best Profit Generator,SMFG + LLY + HWM + NVDA,SMFG,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,50.66747557033194,90.5410891169096,89.61625838380098,6.567616326528512,53.320671584502904,2022,6.567616326528512,2024,90.5410891169096,100000.0,790236.8367880371,690236.8367880371,690.2368367880371,51.19988264343747
60,Best Profit Generator,LLY + HWM + WELL + NVDA,LLY,Health Care,HWM,Industrials,WELL,Real Estate,NVDA,Technology,54.24350001551393,87.58097501053507,94.88902482323942,-3.2554064628553814,60.05432205777541,2022,-3.2554064628553814,2023,94.88902482323942,100000.0,789935.4346262771,689935.4346262771,689.9354346262771,51.18834713318263
61,Best Profit Generator,AXP + LLY + HWM + NVDA,AXP,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,48.27728250926326,91.89397710120295,91.60933067091622,-0.09033392438537291,60.02968153813012,2022,-0.09033392438537291,2024,91.89397710120295,100000.0,789243.8255374067,689243.8255374067,689.2438255374067,51.1618639881537
62,Best Profit Generator,AEM + HWM + NVDA + ANET,AEM,Basic Materials,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,66.23650455655006,101.9302231653472,94.9777095905249,-10.151508113140201,53.05831661654362,2022,-10.151508113140201,2024,101.9302231653472,100000.0,788717.8464730985,688717.8464730985,688.7178464730985,51.14171072843388
63,Best Profit Generator,CNQ + BBVA + HWM + NVDA,CNQ,Energy,BBVA,Finance,HWM,Industrials,NVDA,Technology,73.3664480924694,71.71027315966768,90.76580044528308,6.720702034115249,60.69182990223886,2022,6.720702034115249,2023,90.76580044528308,100000.0,788670.5081906135,688670.5081906135,688.6705081906134,51.1398964013444
64,Best Profit Generator,SMFG + LLY + NVDA + ANET,SMFG,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,33.31577545442606,86.79691685299319,103.67488017833779,-3.3692688681418748,74.87394992049047,2022,-3.3692688681418748,2023,103.67488017833779,100000.0,788566.2965366005,688566.2965366005,688.5662965366005,51.135901990249245
65,Best Profit Generator,LLY + WELL + NVDA + ANET,LLY,Health Care,WELL,Real Estate,NVDA,Technology,ANET,Telecommunications,36.89179989960805,83.83680274661867,108.94764661777623,-13.19229165752577,81.60760039376297,2022,-13.19229165752577,2023,108.94764661777623,100000.0,788264.8943748403,688264.8943748403,688.2648943748403,51.124346930452205
66,Best Profit Generator,XOM + BBVA + HWM + NVDA,XOM,Energy,BBVA,Finance,HWM,Industrials,NVDA,Technology,74.21061191861915,74.85311403706078,83.26935880702928,17.851382746940985,54.196986064310494,2022,17.851382746940985,2023,83.26935880702928,100000.0,787821.1649496714,687821.1649496714,687.8211649496714,51.10732893953607
67,Best Profit Generator,COF + HWM + NVDA + ANET,COF,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.7659216811036,99.9811158503891,103.81288019629072,-19.068795892610375,71.0907204951477,2022,-19.068795892610375,2023,103.81288019629072,100000.0,787622.0964440338,687622.0964440338,687.6220964440338,51.09969173649858
68,Best Profit Generator,AXP + LLY + NVDA + ANET,AXP,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,30.92558239335738,88.14980483728655,105.66795246545301,-10.02721911905576,81.58295987411768,2022,-10.02721911905576,2023,105.66795246545301,100000.0,787573.2852859701,687573.2852859701,687.5732852859701,51.097818875438605
69,Best Profit Generator,CNQ + BBVA + NVDA + ANET,CNQ,Energy,BBVA,Finance,NVDA,Technology,ANET,Telecommunications,56.01474797656353,67.96610089575128,104.82442223981988,-3.216183160555138,82.24510823822641,2022,-3.216183160555138,2023,104.82442223981988,100000.0,786999.9679391767,686999.9679391767,686.9999679391767,51.07581400618664
70,Best Profit Generator,BNY + LLY + HWM + NVDA,BNY,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,55.39051883797159,89.7890637616153,89.07058602594222,-2.746230279978535,60.946467690867564,2022,-2.746230279978535,2024,89.7890637616153,100000.0,786875.0676916518,686875.0676916518,686.8750676916518,51.071018426692525
71,Best Profit Generator,CM + HWM + NVDA + ANET,CM,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,47.9779841542694,99.87851770992299,99.35833381684564,-17.132914962869425,68.95300436901147,2022,-17.132914962869425,2024,99.87851770992299,100000.0,786325.2574902223,686325.2574902223,686.3252574902224,51.04990106898069
72,Best Profit Generator,XOM + BBVA + NVDA + ANET,XOM,Energy,BBVA,Finance,NVDA,Technology,ANET,Telecommunications,56.858911802713266,71.10894177314437,97.32798060156608,7.914497552270598,75.75026440029805,2022,7.914497552270598,2023,97.32798060156608,100000.0,786150.6246982346,686150.6246982346,686.1506246982347,51.043191222304785
73,Best Profit Generator,ABBV + HWM + NVDA + ANET,ABBV,Health Care,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,44.62378660695555,95.13563224333353,92.6744714961889,-4.41865492297846,66.8672081169588,2022,-4.41865492297846,2024,95.13563224333353,100000.0,785356.3583756068,685356.3583756068,685.3563583756069,51.01265838839522
74,Best Profit Generator,BNY + LLY + NVDA + ANET,BNY,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,38.03881872206571,86.04489149769888,103.12920782047902,-12.683115474648924,82.49974602685512,2022,-12.683115474648924,2023,103.12920782047902,100000.0,785204.527440215,685204.527440215,685.204527440215,51.00681895863435
75,Best Profit Generator,PBR + BBVA + HWM + NVDA,PBR,Energy,BBVA,Finance,HWM,Industrials,NVDA,Technology,69.95207712106966,71.4724905996275,107.13005064676383,10.306810960403869,44.909699141372634,2022,10.306810960403869,2023,107.13005064676383,100000.0,785123.0178628293,685123.0178628293,685.1230178628293,51.00368372120769
76,Best Profit Generator,VLO + BBVA + HWM + NVDA,VLO,Energy,BBVA,Finance,HWM,Industrials,NVDA,Technology,79.45995208698275,71.29832941808158,86.30032936878193,14.737598974935786,49.866520467167874,2022,14.737598974935786,2023,86.30032936878193,100000.0,784842.3526107364,684842.3526107364,684.8423526107364,50.99288603791563
77,Best Profit Generator,GILD + HWM + NVDA + ANET,GILD,Health Care,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,45.502692633634496,95.09150850456759,92.23497600959224,-4.51318323088355,66.24942955440298,2022,-4.51318323088355,2024,95.09150850456759,100000.0,784386.7304112238,684386.7304112238,684.3867304112238,50.97535087526979
78,Best Profit Generator,PGR + HWM + NVDA + ANET,PGR,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,35.59894079926268,103.26908030329753,98.52264574468754,-3.718834554106097,61.47048494028641,2022,-3.718834554106097,2024,103.26908030329753,100000.0,784106.5688701841,684106.5688701841,684.1065688701841,50.96456447881028
79,Best Profit Generator,MFG + LLY + HWM + NVDA,MFG,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,54.89345410907713,88.78035915501953,89.72338630307001,4.882032597696632,50.80851418845262,2022,4.882032597696632,2023,89.72338630307001,100000.0,783904.8628310538,683904.8628310538,683.9048628310538,50.956796759647595
80,Best Profit Generator,MS + LLY + HWM + NVDA,MS,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,53.070147474895684,86.74674412341702,87.92402515994698,-0.5457133260336349,62.47192514922148,2022,-0.5457133260336349,2023,87.92402515994698,100000.0,783844.2220749367,683844.2220749367,683.8442220749367,50.95446116562354
81,Best Profit Generator,SHEL + HWM + NVDA + ANET,SHEL,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,41.89542498083798,90.20282783946908,97.7815355068167,-1.7179477480301504,65.86705610618253,2022,-1.7179477480301504,2023,97.7815355068167,100000.0,783569.9929237716,683569.9929237716,683.5699929237716,50.94389735541765
82,Best Profit Generator,PBR + BBVA + NVDA + ANET,PBR,Energy,BBVA,Finance,NVDA,Technology,ANET,Telecommunications,52.60037700516379,67.7283183357111,121.18867244130064,0.36992576573348224,66.4629774773602,2022,0.36992576573348224,2023,121.18867244130064,100000.0,783452.4776113925,683452.4776113925,683.4524776113925,50.93936954459901
83,Best Profit Generator,BBVA + CAT + NVDA + ANET,BBVA,Finance,CAT,Industrials,NVDA,Technology,ANET,Telecommunications,67.94076869296106,74.4582030315038,105.38055271902815,-9.28806274252559,65.34479444712744,2022,-9.28806274252559,2023,105.38055271902815,100000.0,783379.9716539927,683379.9716539927,683.3799716539927,50.936575652444475
